"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"79793601","2000-Sq-ft-Commercial-Land-FOR-Sale-Makali-in-Bangalore&id=4d423739373933363031"," Commercial Land for Resale in Makali","2025-06-01T03:49:13.000Z",,"3000000","1500","₹","Nearby Zydus wellness products",,,"19202|B.m.n. Public School","19202|BMS Public School","19210|Makali Bus Stop",,,,,,,"CORNER PLOT with Road on THREE sides","13.06942,77.4566","Pradeep",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"74668107","1500-Sq-yrd-Commercial-Land-FOR-Sale-JP-Nagar-in-Bangalore&id=4d423734363638313037"," Commercial Land for Resale in J P Nagar","2025-07-17T17:35:02.000Z",,"15000000","1111","₹",,,,"19201|Kalyani Magnum","19201|FRESHCO SUPER MARKET","19202|Dayananda Sagar English School","19202|The Oxford Senior Secondary School","19203|North Star Nursing Home","19203|Rajshekar Hospital","19210|Jaya Prakash Nagar Metro Station","19210|Jayaprakash Nagar Metro Station, Bangalore",,,"12.90369008,77.58574868","Ram",,,"12800",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"58448883","10800-Sq-ft-Commercial-Land-FOR-Sale-Rajarajeshwari-Nagar-in-Bangalore&id=4d423538343438383833"," Commercial Land for Resale in RR Nagar","2025-08-08T17:35:01.000Z",,"183600000","17000","₹",,,,"19201|ARS Textiles","19201|Shopping City Hyper Market","19202|BET Convent","19202|S-VYASA Deemed to be University School of Advanced Studies","19203|SSNMC Super Specialty Hospital","19203|Sanjeevini Speciality Health Care & Diagnostic Center","19210|Jnana Bharathi Railway Station","19210|Bengaluru University Gate Bus Stop",,,"12.915409,77.515634","Diwakar",,,"12800",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"65335817","30000-Sq-ft-Industrial-Land-FOR-Sale-Gubbalala-in-Bangalore&id=4d423635333335383137"," Industrial Land for Resale in Gubbalala, Subramanyapura","2025-07-19T17:35:02.000Z",,"350000000","11667","₹",,"Spread across a plot area of 30000.0 square feet, this industrial land for sale is well-located in Gubbalala. You can buy it at a great price of ₹35 Cr. The land is located adjacent to a road of 20m. The exact address of this industrial land for sale is Gubbalala, Bangalore - South, Karnataka.",,"19203|Ritu Hospital",,,,,,,,,,"12.8862264,77.5447791","Sundeep Gupta",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"70199929","1713-Sq-ft-Commercial-Land-FOR-Sale-Kereguddadahalli-in-Bangalore&id=4d423730313939393239"," Commercial Land for Resale in Kereguddadahalli, Chikbanavara","2025-07-29T17:35:02.000Z",,"20556000","12000","₹",,,,,,,,,,,,,"Chairmans Restobar","13.07919675,77.51594891","Hrishikesh",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Nov/27/Photo_h180_w240/70199929_1_PropertyImage437-548250785714_180_240.jpg"
"70226423","4000-Sq-ft-Commercial-Land-FOR-Sale-in-Bangalore&id=4d423730323236343233"," Commercial Land for Resale in ","2025-07-31T17:35:01.000Z",,"35000000","8750","₹",,,,,,,,,,,,,,,"Praveen",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Nov/29/Photo_h180_w240/70226423_1_IMG5933_180_240.jpeg"
"58626407","15-Acre-Industrial-Land-FOR-Sale-Ananda-Puram-in-Bangalore&id=4d423538363236343037"," Industrial Land for Resale in Ananda Puram, Jeevan Bima Nagar","2025-07-25T17:35:01.000Z",,"150000000","230","₹",,"This prime industrial land for sale in Ananda Puram, spreads over a land area of 653412.0 square feet. This can come at a reasonable price of ₹15 Cr. Here is the address of the industrial land for sale: Ananda Puram, Bangalore - Central, Karnataka.",,,,,,,,,,,,"12.9638405,77.6588691","C.Mallikarjuna",,,"12800",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"65369379","10000-Sq-ft-Industrial-Land-FOR-Sale-Cheemasandra-in-Bangalore&id=4d423635333639333739"," Industrial Land for Resale in Cheemasandra","2025-07-15T17:35:02.000Z",,"45000000","4500","₹",,"This stratefically located industrial land for sale in Cheemasandra is spread over a plot area of 10000.0 square feet. It can be yours at a reasonable price of ₹4.50 Cr. It can be viewed for sale at Cheemasandra, Bangalore - East, Karnataka.",,"19202|Sri Jnana Gangotri International School",,,,,,,,,,"13.0581187,77.72337952","raju",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"67982503","12000-Sq-ft-Commercial-Land-FOR-Sale-Jakkuru-Layout-in-Bangalore&id=4d423637393832353033"," Commercial Land for Resale in Jakkuru Layout, Jakkuru","2025-08-12T17:35:01.000Z",,"15000000","1250","₹","Commercial land is available for sale. It has area of 12000 sq-ft, it is a good location property. Please contact for more details.",,,"19201|Iiquor Tap","19202|VIBGYOR","19202|Vibgyor Kids High","19203|Shree Raksha Health Center",,,,,,,"13.0713439,77.6011292","Ravin",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Jul/10/Photo_h180_w240/67982503_1_hatsAppImage20230710at10.28.14AM_180_240.jpeg"
"74906209","9780-Sq-ft-Commercial-Land-FOR-Sale-Shivakote-in-Bangalore&id=4d423734393036323039"," Commercial Land for Resale in Shivakote","2025-07-16T17:35:01.000Z",,"35000000","3579","₹","Commercial land is available for sale. It is a good location property. Please contact for more details.",,,,,,,,,,,,,"13.134329,77.512199","ethinraj",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Sep/14/Photo_h180_w240/74906209_5_hatsAppImage20240914at3.17.03PM_180_240.jpeg"
"65344307","5500-Sq-ft-Industrial-Land-FOR-Sale-Kumbalgodu-in-Bangalore&id=4d423635333434333037"," Industrial Land for Resale in Kumbalgodu","2025-07-31T17:35:01.000Z",,"20900000","3800","₹","near main road Mysore and banglore","This stratefically located industrial land for sale in Kumbalgodu is spread over a plot area of 5500.0 square feet. It can be yours at a reasonable price of ₹2.09 Cr. You can grab this land by paying a booking amount of Rs 2000000. Across from the land is a road measuring 50m. Here is the address of the industrial land for sale: Kumbalgodu, Bangalore - West, Karnataka.",,"19201|Kumbalgudu Industrial Area","19202|Rajarajeswari College of Engineering Bangalore","19202|Tattva School","19203|Govt Primary Health Care Center","19210|KSRTC Bus stop, Kumbalagodu",,,,,,"12.87938554,77.4451746","Abdul",,,"12800",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"70180827","1800-Sq-ft-Commercial-Land-FOR-Sale-Bidarahalli-in-Bangalore&id=4d423730313830383237"," Commercial Land for New Property in Bidarahalli","2025-07-27T17:35:02.000Z",,"12500000","6944","₹",,,,"19202|New Baldwin International Residential School","19202|New Great International School","19203|East Point Hospital","19210|Bidarahalli Bus Stop",,,,,,,"13.0610142,77.7158358","Vinay",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"65342735","1500-Sq-yrd-Industrial-Land-FOR-Sale-HMT-Layout-in-Bangalore&id=4d423635333432373335"," Industrial Land for New Property in HMT Layout Mathikere","2025-07-31T17:35:01.000Z",,"13500000","1000","₹","property for sale  ..............is in good location","This prime industrial land for sale in HMT Layout, spreads over a land area of 13500.0 square feet. This can come at a reasonable price of ₹1.35 Cr. It can be viewed for sale at HMT Layout, Bangalore - Central, Karnataka.",,"19203|Geetha Nursing Home",,,,,,,,,,"13.0314545,77.556781","Veena",,,"12800",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"72738977","4025-Sq-yrd-Commercial-Land-FOR-Sale-Aradeshanahalli-in-Bangalore&id=4d423732373338393737"," Commercial Land for Resale in Aradeshanahalli","2025-07-11T17:35:02.000Z",,"18000000","497","₹","Residential plot is available for sale. It is a good location property. Please contact for more details.",,,,,,,,,,,,,"13.223771,77.56408","Resham",,,"12800",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/May/10/Photo_h180_w240/72738977_1_hatsAppImage20240509at6.41.12PM_180_240.jpeg"
