state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Kallabalu,Kallabalu,0000373363,0002741987,"GLPS GOVINDANAYAKANATHANDYA",8,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Vabbasandra,Vabbasandra,0000373386,0000056545,"Govt. Upper Primary School",73,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,"S. Bingipura","S. Bingipura",0000373389,0000056549,"Govt. Upper Primary School",113,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Maragondanahalli,Maragondanahalli,0000373392,0000056550,"Govt. Upper Primary School",200,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ragihalli,Ragihalli,Ragihalli,0000373462,0000056606,"Govt. Higher Primary School",20,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Thirumagondanahalli,Thirumagondanahalli,0000373478,0000056616,"Govt. Upper Primary School",105,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ballur,Ballur,Ballur,0000373484,0000056626,"Govt. Upper Primary School",314,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mayasandra,Manchanahalli,Manchanahalli,0000373488,0000056629,GHPS,73,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Sarjapura,Sarjapura,Sarjapura,0000373516,0002740343,"SVP HS SARJAPURA",411,"Govt. Aided","Secondary/Sr. Sec. with grades 1 to 10",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Kuthaganahalli,Kuthaganahalli,0000373522,0000056686,"Govt. higher Primary School",21,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Billapura,Adigarakallahalli,Adigarakallahalli,0000373538,0000056704,"Govt. Higher Primary School",28,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Shantipura,Rayasandra,Rayasandra,0000373589,0000056767,"Govt. higher Primary School",218,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Dommasandra,Dommasandra,Dommasandra,0000373592,0001837546,"Govt Upper Primary School (boys)",281,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Dommasandra,Dommasandra,Dommasandra,0000373592,0002681858,"Govt PU College",110,Govt.,"Hr. Sec. /Jr. College only with grades 11 and 12",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Gandhinagara,"S. Gandhinagara",0000373273,0000056415,"Govt. Lower primary School",11,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Telagarahalli,Telagarahalli,0000373301,0000056451,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Kempavaderahalli,Kempavaderahalli,0000373336,0000056490,"Govt. Lower Primary School",16,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Byagadadevanahalli,Doddahagde,Doddahagde,0000373341,0000056493,"Govt. Lower Primary School",26,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Bukkasagara,Bukkasagara,0000373365,0000056527,"Govt. Lower Primary School",30,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Narasapura,Narsapura,0000373501,0000056652,"Govt. Primary School",9,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Nagaiahadoddi,Nagaiahabadoddi,0000373332,0001799246,"GOV. Lower PRIMARY SCHOOL",13,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Balarabande,Balarabande,0000373381,0001962650,"Govt. Lower Primary School",19,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Amruthanagara,Amruthanagara,0000373449,0002736974,"Govt Lower Primary school",49,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ragihalli,Annaiahnadoddi,Annaiahanadoddi,0000373463,0001969866,"Govt. Lower primary School",19,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Itchangur,Vaddarapalya,0000373475,0002740431,"GLPS  ICHANGUR VADDARA PALYA",48,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mayasandra,Harohalli,Harohalli,0000373491,0002676409,"Govt. Lower Primary School",17,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Chikkanahalli,Chikkanahalli,0000373497,0001475870,"govt. lower primary school",8,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,"Kada Agrahara","Kada Agrahara",0000373548,0000056715,"Govt. Lower Primary School",30,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,Narayanaghatta,Narayanaghatta,0000373561,0000056735,"Govt. Lower Primary School",41,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Heggondahalli,Heggondahalli,0000373570,0002680498,"Govt. lower Primary school",17,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Kaggalipura,Kaggalipura,0000373574,0000056751,"Govt. Lower Primary School",17,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,"Chinnthala Madiwala","Chinnthala Madiwala",0000373578,0000056756,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Avalahalli,Avalahalli,0000373582,0000056761,"Govt. Lower Primary School",9,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Shantipura,Choodasandra,Choodasandra,0000373591,0000056770,"Govt. Lower Primary School",35,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Dyavasandra,Dyavasandra,0001622880,0002201912,"GOVT LOWER PRIMARY SCHOOL",36,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Nayanahalli,Nayanahalli,0001622885,0002210370,"Govt. Lower Primary School",17,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Kuvempunagara,Kuvempunagara,0000373264,0000056400,"Govt. higher Primary School",98,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Vannakanahalli,Vannakanahalli,0000373305,0002740295,"VINOBABHAVE HIGH SCHOOL",74,"Govt. Aided","Secondary/Sr. Sec. with grades 6 to 10",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Shikaripalya,Shikaripalya,0000373393,0000056552,"Govt. Urdu Upper Primary School",188,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Rajapura,Rajapura,0000373396,0000056557,"Govt. Upper Primary School",18,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Kalkere,Kalkere,0000373417,0000056579,"Govt. Lower Primary School",65,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Balagaranahalli,Balagaranahalli,0000373476,0002740429,GHPS,189,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
