Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),5, HSS (VI-XII),4,Graduate,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,4,Graduate,3,B.Ed. or equivalent,10,8,0,0,8,38,3,9,14,46,6,3,6,22,4,8,2,6,193,53,140
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),4,Graduate,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,6,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,4,Graduate,5,Others,0,0,0,0,2,12,0,3,1,14,1,1,0,2,0,0,0,0,36,4,32
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),3,HSS (I-XII),4,Graduate,4,M.Ed. or equivalent,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,3
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),7,SS (VI-X),4,Graduate,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,3,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),1,PS (I-V) ,4,Graduate,5,Others,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,4,Graduate,4,M.Ed. or equivalent,6,3,0,0,1,9,1,1,5,11,0,0,6,3,1,3,0,0,50,20,30
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),7,SS (VI-X),3,Higher secondary,6,None,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,2,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,3,Higher secondary,6,None,0,0,0,0,3,13,0,1,3,4,0,0,5,12,0,1,0,0,42,11,31
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,3,Higher secondary,6,None,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,13,1,12
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),7,SS (VI-X),3,Higher secondary,5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2
