Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),3,Higher secondary,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,3,Higher secondary,4,M.Ed. or equivalent,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),3,Higher secondary,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,7,5,2
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,6, SS (I-X) ,2,Secondary,3,B.Ed. or equivalent,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,6, SS (I-X) ,3,Higher secondary,3,B.Ed. or equivalent,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),2,Secondary,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,3,Higher secondary,3,B.Ed. or equivalent,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,4,1,3
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,2,Secondary,5,Others,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,21,15,6
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,6, SS (I-X) ,3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,3,1
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,11,31,2,0,13,26,0,0,0,2,0,0,0,0,85,26,59
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,1,PS (I-V) ,3,Higher secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,8,SS (IX-X),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,1,0,0,0,0,0,0,2,2,0,0,3,3,2,0,0,0,14,8,6
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,6, SS (I-X) ,3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,1,0,0,1,1,1,3,1,2,0,1,0,1,0,0,0,0,12,3,9
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,47,115,15,26,76,159,3,15,2,6,0,0,1,7,472,144,328
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,1,PS (I-V) ,3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,6,10,1,0,1,1,0,0,0,0,0,0,0,0,19,8,11
2018-19,29,Karnataka,2928,BENGALURU U NORTH,2,Tribal Welfare Department,7,SS (VI-X),7,Ph.D,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2928,BENGALURU U NORTH,2,Tribal Welfare Department,7,SS (VI-X),4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,4,0,4
2018-19,29,Karnataka,2928,BENGALURU U NORTH,2,Tribal Welfare Department,7,SS (VI-X),4,Graduate,6,None,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,5,2,3
