state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore South",Nelaguli,"Kere Choodahalli","Kere Choodahalli",0000374094,0004866140,4792957,"Deep Tubewell","Ground Water","Towards Main Road","Revival of MWS Scheme",2012-2013,5.00000,4.99956,"15 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Taralu,Vaasudevapura,Vasudevapura,0000374067,0004866227,4793043,"Deep Tubewell","Ground Water","Village Limit","Revival of MWS Scheme",2012-2013,5.00000,4.99970,"15 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Taralu,Taralu,Taralu,0000374070,0004866257,4793067,"Deep Tubewell","Ground Water","Village Limit","Revival of MWS Scheme",2012-2013,5.00000,5.04485,"15 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Somanahalli,Somanahalli,Somanahalli,0000374089,0004866284,4793090,"Deep Tubewell","Ground Water","Village Road Side","Revival of MWS Scheme",2012-2013,10.00000,9.99200,"13 Sep 2012","15 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kaggalipura,"Saalu Hunase",Salahunse,0000374063,0004866371,4793174,"Deep Tubewell","Ground Water","Main Road","Revival of MWS Scheme",2012-2013,5.00000,5.21773,"13 Sep 2012","01 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kaggalipura,"A K Colony","Kaggalipura Akc",0000374060,0004867527,4794482,"Deep Tubewell","Ground Water","Towards Colony Road","Revival of MWS Scheme",2012-2013,5.00000,4.99978,"15 Sep 2012","01 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kaggalipura,Kaggalipura,Kaggalipura,0000374057,0004867540,4794493,"Deep Tubewell","Ground Water","Main Road","Revival of MWS Scheme",2012-2013,5.00000,0.00000,"15 Sep 2012","20 Feb 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","K. Golahalli",Kenchanapalya,Kenchanapalya,0000374167,0004886637,4812665,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2012-2013,5.00000,3.69044,"15 Sep 2012","04 Dec 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Cholanayakanahalli,Varthur,Varthur,0000374412,0004892578,4818085,"Deep Tubewell","Ground Water","Village limit","Providing Piped Water Supply Scheme",2012-2013,12.00000,12.67768,"15 Sep 2012","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chunchanakuppe,Kolur,Kolur,0000374440,0004893880,4819201,"Deep Tubewell","Ground Water","Chikkellur road","Providing Piped Water Supply Scheme",2012-2013,20.00000,0.00000,"15 Sep 2012","20 Feb 2014",2024-06-07
