country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","12-11-2025 02:00:00",17.321993,76.822628,NO2,12,12,12
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","12-11-2025 02:00:00",17.321993,76.822628,NH3,1,1,1
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","12-11-2025 02:00:00",17.336318,76.847397,PM2.5,21,68,34
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","12-11-2025 02:00:00",17.336318,76.847397,NO2,9,19,14
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","12-11-2025 02:00:00",15.347630,76.181767,PM10,41,78,59
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","12-11-2025 02:00:00",12.415911,75.735050,PM2.5,42,116,68
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","12-11-2025 02:00:00",12.415911,75.735050,OZONE,3,6,4
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","12-11-2025 02:00:00",13.328028,75.797056,OZONE,31,72,31
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","12-11-2025 02:00:00",14.475800,75.905200,PM2.5,64,250,101
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","12-11-2025 02:00:00",14.475800,75.905200,NO2,22,59,35
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","12-11-2025 02:00:00",15.459706,75.008381,PM2.5,51,71,65
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","12-11-2025 02:00:00",15.459706,75.008381,CO,46,103,74
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","12-11-2025 02:00:00",15.411456,75.638133,SO2,16,24,20
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","12-11-2025 02:00:00",15.411456,75.638133,CO,10,16,13
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","12-11-2025 02:00:00",15.3714823,75.1160168,PM2.5,34,53,48
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","12-11-2025 02:00:00",22.4310,75.5213,CO,42,150,137
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","12-11-2025 02:00:00",22.6780,75.8559,NH3,NA,NA,NA
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","12-11-2025 02:00:00",22.6780,75.8559,SO2,19,25,23
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","12-11-2025 02:00:00",22.7084,75.8815,PM10,NA,NA,NA
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","12-11-2025 02:00:00",22.7084,75.8815,OZONE,NA,NA,NA
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","12-11-2025 02:00:00",23.163174,79.973061,NH3,2,2,2
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","12-11-2025 02:00:00",23.142888,79.916147,NH3,6,10,8
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","12-11-2025 02:00:00",12.990328,77.5431385,PM10,51,56,51
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","12-11-2025 02:00:00",12.990328,77.5431385,CO,18,40,31
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","12-11-2025 02:00:00",12.917348,77.622813,PM2.5,75,116,88
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","12-11-2025 02:00:00",12.917348,77.622813,NO2,9,20,14
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-11-2025 02:00:00",11.55358,76.55521,PM10,34,54,40
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","12-11-2025 02:00:00",26.200388,78.147714,NO2,18,122,52
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","12-11-2025 02:00:00",26.200388,78.147714,NH3,3,4,4
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","12-11-2025 02:00:00",22.7289,75.8076,SO2,20,21,20
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","12-11-2025 02:00:00",22.4310,75.5213,PM2.5,43,344,207
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","12-11-2025 02:00:00",23.210494,77.425409,CO,6,91,60
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","12-11-2025 02:00:00",23.233584,77.400574,NO2,42,122,77
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","12-11-2025 02:00:00",22.9682591,76.064118,NO2,6,7,7
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","12-11-2025 02:00:00",11.875000,75.373200,OZONE,27,32,28
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","12-11-2025 02:00:00",8.8787,76.6073,OZONE,NA,NA,NA
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","12-11-2025 02:00:00",10.532400,76.215900,OZONE,NA,NA,NA
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","12-11-2025 02:00:00",16.7602,77.1428,PM2.5,NA,NA,NA
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","12-11-2025 02:00:00",16.7602,77.1428,NH3,NA,NA,NA
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","12-11-2025 02:00:00",10.073232,76.302765,CO,28,105,49
India,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB","12-11-2025 02:00:00",13.34194444,74.74694444,PM2.5,43,85,57
India,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB","12-11-2025 02:00:00",13.34194444,74.74694444,SO2,8,9,8
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","12-11-2025 02:00:00",18.9767,72.8380,CO,33,77,51
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","12-11-2025 02:00:00",18.9767,72.8380,OZONE,7,69,23
