state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore North",Sondekoppa,Sondekoppa,Sondekoppa,0000373739,0002615843,2422012,"Deep Tubewell","Ground Water","Village Limits","Community Terafil Units",2010-2011,2.20000,0.00000,"04 Nov 2010","28 Dec 2011",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Alur,Thammenahalli,"Thammenahalli Jhc",0000373701,0002615877,2422040,"Deep Tubewell","Ground Water","Village Limits","Community Terafil Units",2010-2011,0.55000,0.00000,"04 Nov 2010","29 Mar 2011",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Gopalapura,Thotagere,Thotagere,0000373772,0002615925,2422079,"Deep Tubewell","Ground Water","Village Limits","Community Terafil Units",2010-2011,1.65000,0.00000,"04 Nov 2010","29 Mar 2011",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Gopalapura,Kukkanahalli,Kukkanahalli,0000373771,0002623226,2426855,"Deep Tubewell","Ground Water",NA,"Primary School only",2010-2011,0.60000,0.00000,"30 Jun 2010","30 Nov 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Mathahalli,Mathahalli,0000373691,0007219117,1513228,"Deep Tubewell","Ground Water","Right side of the main road","ST COLONY Revival of MWS (Electrification)",2015-2016,0.30000,0.00000,"25 Oct 2015","31 Mar 2016",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kachohalli,Kachohalli,Kachohalli,0000373763,0001764277,1513250,"Deep Tubewell","Ground Water","near MI Tank","Near Village",2008-2009,15.00000,0.00001,"15 May 2009","15 Oct 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Alur,Thammenahalli,Thammenahalli,0000373700,0008235424,1513296,"Deep Tubewell","Ground Water","main road","15 crore 04022021 ReDrilling Borewells at  Thammenahalli village  Aluru GP Bangalore North Taluk",2020-2021,1.00000,0.98316,"07 Feb 2021","03 May 2023",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Shrikantapura,Totadaguddadahalli,Totadaguddadahalli,0000373749,0001764339,1513313,"Deep Tubewell","Ground Water","R/s of main road","New layout",2008-2009,15.00000,6.00000,"10 Jun 2009","30 May 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kodigehalli,"Chikkakodige Halli",Chikkakodigenahalli,0000373626,0002601192,2406753,"Deep Tubewell","Ground Water","village limit","community tarrafil units",2010-2011,0.55000,0.00000,"04 Nov 2010","21 Oct 2011",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Lakshmipura,Gangondanahalli,Gangondanahalli,0001622923,0002601355,2406936,"Deep Tubewell","Ground Water","village limit","community tarrafil units",2010-2011,3.30000,0.00000,"04 Nov 2010","28 Feb 2012",2024-06-07
